entity,termdt,multno,ent due,ent ovp,conf dt,hold ct,last seiz,seiz stat,seiz dt,nix dt,ticket,iss dt,badge,viol,fine,location,iss time,meter,lat,long,clean up,clean address
3326243,0,0,$0.00,$0.00,2017102,0,0,,0,0,5562033101,2013232,6,29,$25.00,15TH AVE E,839,UE355,39.999817,-83.00436,meter,
3329792,0,0,$0.00,$0.00,2016069,0,0,,0,0,5562104232,2013243,7,29,$25.00,LUDLOW ST S,810,SH308,39.958065,-83.0025,meter,
3276598,0,0,$450.00,$0.00,2017256,5,0,,0,0,5561630796,2013128,5,29,$25.00,HUBBARD AVE E,2140,K265,39.979115,-83.002304,meter,
3286524,0,0,$115.00,$0.00,2018038,0,0,,0,0,5561376302,2013053,19,72,$45.00,NORWICH AVE E,1827,UE585,40.00724,-83.009125,meter,
2995632,0,0,$0.00,$0.00,2015063,0,2017175,,2017175,0,5561561231,2013096,19,13,$50.00,PARK ST,2025,NI655,39.97276,-83.00467,meter,
3163235,0,0,$0.00,$0.00,2017256,0,0,,0,0,5561793104,2013162,7,29,$25.00,PEARL ST N,1344,NL212,39.965603,-83.00033,meter,
3356138,0,0,$60.00,$0.00,2014008,0,0,,0,0,5562466821,2013352,9,29,$25.00,FULTON ST W,1501,WA63,39.95325,-83.00038,meter,
3296216,0,0,$0.00,$0.00,2017256,0,0,,0,0,5562094045,2013263,8,29,$25.00,YOUNG ST N,1422,NP1,39.96308,-82.995476,meter,
3314087,0,0,$0.00,$0.00,2017137,0,0,,0,0,5561750695,2013176,2,29,$25.00,SIXTH ST S,953,SS61,39.961906,-82.99252,meter,
3183796,0,0,$230.00,$0.00,2017242,3,2012331,,2012332,0,5561996163,2013207,10,29,$25.00,THIRTEENTH AVE E,1349,UE201,39.997784,-83.00731,meter,
3351974,0,0,$0.00,$0.00,2017249,0,0,,0,0,5562434691,2013311,19,29,$25.00,HIGH ST N,2112,K769,39.981976,-83.00462,meter,
3114913,0,0,$0.00,$0.00,2017235,0,0,,0,0,5562187451,2013260,19,29,$25.00,BUTTLES LOT,1547,V13,39.976593,-83.004005,meter,
3183796,0,0,$230.00,$0.00,2017242,3,2012331,,2012332,0,5562260881,2013269,19,29,$25.00,12TH AVE E,1815,UE171,39.99672,-83.00636,meter,
3163235,0,0,$0.00,$0.00,2017256,0,0,,0,0,5562048151,2013228,7,29,$25.00,PARK ST,1502,NI604,39.971928,-83.00454,meter,
3299643,0,0,$400.00,$0.00,2017207,4,0,,0,0,5561573831,2013122,2,29,$25.00,GRANT AVE N,1116,NT615,39.97104,-82.99199,meter,
3103842,0,0,$130.00,$0.00,2017319,1,0,,0,0,5562320985,2013288,19,72,$45.00,PARK ST,1825,NI654,39.97266,-83.00448,meter,
3320818,0,0,$65.00,$0.00,2015042,1,0,,0,0,5561938133,2013210,16,29,$25.00,GAY ST E,1342,EP37,39.963703,-82.99947,meter,
3207670,0,0,$0.00,$0.00,2013219,0,2012109,,2012110,0,5561867503,2013197,16,72,$45.00,STATE ST E,1248,EK304,39.961006,-82.993385,meter,
3194097,0,0,$0.00,$0.00,2017221,0,0,,0,0,5562601604,2013354,19,29,$25.00,ELEVENTH AVE W,1557,UW97,39.995235,-83.00752,meter,
3163235,0,0,$0.00,$0.00,2017256,0,0,,0,0,5561615610,2013137,8,29,$25.00,MOUND ST E,1011,EC117,39.955124,-82.99571,meter,
3650211,0,0,$0.00,$0.00,2017249,0,0,,0,0,5562074670,2013229,19,29,$25.00,GOODALE ST W,2152,K38,39.973736,-83.00629,meter,
3271397,0,0,$0.00,$0.00,2017242,0,2016196,,2016196,0,5562256703,2013276,18,29,$25.00,CIVIC CENTER DR,1554,SG121,39.95664,-83.00324,meter,
3279922,0,0,$0.00,$0.00,0,0,0,,0,0,5561105542,2013024,16,29,$25.00,LIVINGSTON AVE E,901,B29,39.952576,-82.99828,meter,
2981050,0,0,$0.00,$0.00,0,0,0,,0,0,5561186834,2013012,13,29,$25.00,GREENWOOD LOT,2049,F32,39.986282,-83.00556,meter,
3276171,0,0,$0.00,$0.00,2018108,0,0,,0,0,5561166954,2013008,20,29,$25.00,PARK ST,1940,K415,39.976795,-83.005165,meter,
3351296,0,0,$0.00,$0.00,2017235,0,0,,0,0,5562494423,2013327,20,29,$25.00,HIGH ST N,2045,K756,39.983585,-83.00472,meter,
3296216,0,0,$0.00,$0.00,2017256,0,0,,0,0,5562332421,2013309,12,29,$25.00,YOUNG ST N,1227,NP9,39.96333,-82.99552,meter,
3276598,0,0,$450.00,$0.00,2017256,5,0,,0,0,5561131560,2013010,17,29,$25.00,KERR ST,1952,K287,39.978996,-83.00192,meter,
3114913,0,0,$0.00,$0.00,2017235,0,0,,0,0,5562023975,2013248,9,29,$25.00,BUTTLES LOT,1330,V13,39.976593,-83.004005,meter,
3299643,0,0,$400.00,$0.00,2017207,4,0,,0,0,5561474431,2013108,16,29,$25.00,GRANT AVE N,1319,NT607,39.97073,-82.99202,meter,
3271397,0,0,$0.00,$0.00,2017242,0,2016196,,2016196,0,5561115574,2013023,9,29,$25.00,WALNUT ST,1306,WH5,39.95804,-83.000435,meter,
3317035,0,0,$165.00,$0.00,2017214,1,0,,0,0,5561916256,2013190,7,72,$45.00,FULTON ST E,1321,EA24,39.95378,-82.99689,meter,
3306518,0,0,$45.00,$0.00,2018066,0,2017326,,2017326,0,5561646465,2013138,14,29,$25.00,GAY ST E,958,EP103,39.963886,-82.99792,meter,
3206026,0,0,$0.00,$0.00,2017249,0,0,,0,0,5562259175,2013281,18,29,$25.00,FRONT ST S,2138,B563,39.95067,-83.000305,meter,
3317035,0,0,$165.00,$0.00,2017214,1,0,,0,0,5562591336,2013360,18,72,$45.00,MT CARMEL MALL,1544,M510,39.95836,-83.02219,meter,
3354263,0,0,$0.00,$0.00,0,0,2017235,,2017235,0,5562523893,2013344,18,29,$25.00,HOSTER ST W,2131,B180,39.950993,-82.999596,meter,
3645624,0,0,$0.00,$0.00,2017228,0,0,,0,0,5562006420,2013221,18,29,$25.00,GAY ST E,2116,EP201,39.961178,-82.998795,meter,
3328741,0,0,$0.00,$0.00,2014085,0,2017251,,2017251,0,5562071726,2013259,16,29,$25.00,HIGH ST N,1030,K547,39.975925,-83.00341,meter,
3320818,0,0,$65.00,$0.00,2015042,1,0,,0,0,5562369985,2013323,9,29,$25.00,PEARL ST S,1138,SL562,39.955116,-82.99831,meter,
3218331,0,0,$0.00,$0.00,2016083,0,0,,0,0,5561649114,2013133,6,29,$25.00,FOURTEENTH AVE E,1028,UE255,39.998825,-83.00745,meter,
3322438,0,0,$0.00,$0.00,2016034,0,0,,0,0,5561971335,2013217,15,29,$25.00,STATE ST W,1429,WK58,39.96004,-83.00176,meter,
3097892,0,0,$210.00,$0.00,2017270,3,0,,0,0,5562466600,2013352,9,29,$25.00,FRONT ST S,1104,SI553,39.955074,-83.00117,meter,
3097892,0,0,$210.00,$0.00,2017270,3,0,,0,0,5561962154,2013217,9,29,$25.00,FRONT ST S,1130,SI503,39.955696,-83.0013,meter,
3131414,0,0,$135.00,$0.00,2017249,0,0,,0,0,5561222184,2013058,12,29,$25.00,MT CARMEL MALL,1129,M506,39.958378,-83.022026,meter,
3155706,0,0,$0.00,$0.00,2013345,0,0,,0,0,5595287603,2013305,1399,13,$50.00,IFO 533 PARK ST,123,NI663,39.97308,-83.004654,meter,
3340589,0,0,$0.00,$0.00,0,0,0,,0,0,5562428074,2013312,18,29,$25.00,GAY ST E,2011,EP3,39.963585,-83.00049,meter,
3314358,0,0,$315.00,$0.00,2017277,4,0,,0,0,5562463052,2013361,14,14,$50.00,BROAD ST W,1507,WN9,39.96205,-83.00119,meter,
3645622,0,0,$0.00,$0.00,2017228,0,0,,0,0,5562157012,2013263,16,49,$500.00,FULTON ST W,1111,WA5,39.953346,-82.999306,meter,
2477708,0,0,$0.00,$0.00,2005195,0,0,,0,0,5561661471,2013126,17,29,$25.00,HIGH ST N,2136,K494,39.97447,-83.00291,meter,
3345326,0,0,$0.00,$0.00,0,0,0,,0,0,5562383473,2013304,20,13,$50.00,PARK ST,2013,NI657,39.97282,-83.00467,meter,
3289534,0,0,$0.00,$0.00,2016293,0,0,,0,0,5561285350,2013065,9,29,$25.00,FULTON ST W,1136,WA17,39.953323,-82.99952,meter,
3325242,0,0,$310.00,$0.00,2017263,2,0,,0,0,5562043575,2013228,17,72,$45.00,GOODALE ST W,2035,K6,39.97368,-83.005035,meter,
3308686,0,0,$65.00,$0.00,2017354,1,0,,0,2017353,5561754022,2013150,17,29,$25.00,SPRUCE ST W,2135,WBB103,39.972412,-83.004845,meter,
3306001,0,0,$220.00,$0.00,2014189,0,0,,0,0,5562509425,2013333,10,72,$45.00,TENTH AVE W,1214,UW50,39.994137,-83.0072,meter,
3314358,0,0,$315.00,$0.00,2017277,4,0,,0,0,5562069372,2013248,16,72,$45.00,BROAD ST W,1108,WN7,39.96206,-83.00111,meter,
3349514,0,0,$0.00,$0.00,2017263,0,0,,0,0,5595227436,2013313,5284,13,$50.00,487 PARK ST,2346,NI611,39.9719,-83.004745,meter,
2788194,0,0,$85.00,$0.00,2017165,1,0,,0,0,5562124613,2013248,17,29,$25.00,FULTON ST E,1541,EA18,39.95373,-82.99726,meter,
3254335,0,0,$423.00,$0.00,2017006,0,0,,0,0,5561262843,2013037,10,29,$25.00,THIRTEENTH AVE E,829,UE248,39.997845,-83.006065,meter,
3253492,0,0,$0.00,$0.00,2017270,0,0,,0,0,5561363481,2013047,19,72,$45.00,PARK ST,2013,K326,39.974743,-83.00463,meter,
2750317,0,0,$55.00,$0.00,2017277,0,0,,0,0,5561936965,2013204,16,29,$25.00,BROAD ST E,832,EN64,39.96261,-82.998314,meter,
3304770,0,0,$0.00,$0.00,2013288,0,0,,0,2013176,5561834861,2013177,5,29,$25.00,GAY ST E,2016,EP11,39.963623,-83.000175,meter,
3306001,0,0,$220.00,$0.00,2014189,0,0,,0,0,5562541290,2013343,19,72,$45.00,TENTH AVE W,1631,UW52,39.994137,-83.00729,meter,
3317531,0,0,$0.00,$0.00,0,0,0,,0,0,5561930761,2013192,17,72,$45.00,HIGH ST N,2130,K631,39.97827,-83.00389,meter,
3347156,0,0,$0.00,$0.00,0,0,0,,0,0,5562368040,2013311,9,29,$25.00,GAY ST E,1349,EP10,39.963745,-83.00037,meter,
3306001,0,0,$220.00,$0.00,2014189,0,0,,0,0,5561650120,2013136,6,29,$25.00,HIGH ST N,1151,UW611,39.99495,-83.007195,meter,
3097892,0,0,$210.00,$0.00,2017270,3,0,,0,0,5562396106,2013317,8,29,$25.00,FRONT ST S,1223,SI503,39.955696,-83.0013,meter,
3351224,0,0,$0.00,$0.00,2016188,0,0,,0,0,5562231050,2013326,19,72,$45.00,POPLAR AVE W,2154,K167,39.97437,-83.004326,meter,
3308278,0,0,$0.00,$0.00,2017270,0,0,,0,0,5561671691,2013148,15,29,$25.00,GAY ST E,1113,EP41,39.96371,-82.99938,meter,
3130251,0,0,$0.00,$0.00,2013205,0,2017261,,2017261,2012082,5561646115,2013137,14,29,$25.00,STATE ST E,1247,EK109,39.96045,-82.99695,meter,
3308349,0,0,$0.00,$0.00,2017263,0,0,,0,0,5562231282,2013329,19,29,$25.00,16TH AVE E,1741,UE377,40.000774,-83.007744,meter,
3335358,0,0,$0.00,$0.00,2017270,0,0,,0,0,5562197240,2013264,18,29,$25.00,NATIONWIDE BL W,2112,WX155,39.968433,-83.005974,meter,
3340589,0,0,$0.00,$0.00,0,0,0,,0,0,5562275242,2013285,7,29,$25.00,TOWN ST W,1328,WI105,39.95849,-83.00211,meter,
3308349,0,0,$0.00,$0.00,2017263,0,0,,0,0,5561753381,2013149,17,29,$25.00,EIGHTEENTH AVE E,1908,UE461,40.00309,-83.0081,meter,
3186483,0,0,$150.00,$0.00,2015098,2,0,,0,0,5561851112,2013172,17,29,$25.00,SPRUCE ST W,1716,WBB71,39.972256,-83.004135,meter,
3334327,0,0,$0.00,$0.00,2017249,0,2017263,,2017263,2013288,5562090361,2013261,9,29,$25.00,MOUND ST E,1024,EC28,39.955006,-82.99814,meter,
3095289,0,0,$60.00,$0.00,2017017,0,2012223,,2012224,0,5561120990,2013007,15,29,$25.00,BROAD ST E,813,EN24,39.962536,-82.99891,meter,
3292209,0,0,$240.00,$0.00,2014043,0,0,,0,0,5561327836,2013082,14,29,$25.00,GAY ST E,854,EP32,39.963825,-82.99964,meter,
3351224,0,0,$0.00,$0.00,2016188,0,0,,0,0,5562475696,2013327,13,72,$45.00,PARK ST,2137,K335,39.97498,-83.00481,meter,
3331608,0,0,$0.00,$0.00,2017305,0,0,,0,0,5562144891,2013250,10,29,$25.00,17TH AVE E,1157,UE404,40.002014,-83.00723,meter,
3336577,0,0,$0.00,$0.00,2017109,0,2017214,,2017214,0,5562154260,2013269,15,29,$25.00,TOWN ST E,826,EI541,39.960182,-82.98739,meter,
3354838,0,100000001,$0.00,$0.00,2014202,0,2014192,,2014193,0,5562548721,2013346,18,14,$50.00,MOUND ST W,1649,WC109,39.95448,-83.001465,meter,
3336858,0,0,$0.00,$0.00,2013289,0,0,,0,0,5562262583,2013270,19,29,$25.00,1ST AVE W,2123,K736,39.98015,-83.0047,meter,
3346756,0,0,$0.00,$0.00,2017277,0,0,,0,0,5562433501,2013310,19,29,$25.00,RUSSELL ST W,2035,K214,39.975494,-83.00407,meter,
3268140,0,0,$0.00,$0.00,2017088,0,0,,0,0,5561585672,2013114,7,72,$45.00,NATIONWIDE BLVD E,1008,EX32,39.96924,-82.999374,meter,
3205540,0,0,$0.00,$0.00,2017186,0,2017257,,2017257,0,5561789560,2013169,6,29,$25.00,HIGH ST N,1456,UE628,39.995342,-83.00701,meter,
3155706,0,0,$0.00,$0.00,2013345,0,0,,0,0,5562430550,2013320,18,29,$25.00,11TH AVE W,1826,UW104,39.99534,-83.00776,meter,
3317790,0,0,$0.00,$0.00,2017326,0,2018056,,2018056,0,5561866921,2013193,16,72,$45.00,HIGH ST N,1331,K629,39.97823,-83.003876,meter,
3319293,0,0,$0.00,$0.00,2017263,0,0,,0,0,5561973483,2013201,10,29,$25.00,15TH AVE E,1012,UE307,39.99994,-83.006874,meter,
3307285,0,0,$0.00,$0.00,2017207,0,0,,0,0,5561964486,2013219,2,29,$25.00,POPLAR AVE W,1131,K156,39.97449,-83.00404,meter,
2788194,0,0,$85.00,$0.00,2017165,1,0,,0,0,5562046250,2013248,12,72,$45.00,FULTON ST E,1311,EA18,39.95373,-82.99726,meter,
3218448,0,0,$0.00,$0.00,2017256,0,0,,0,0,5561612622,2013126,8,29,$25.00,MOUND ST E,1422,EC30,39.955017,-82.99805,meter,
3311075,0,0,$0.00,$0.00,2017291,0,2017109,,2017109,0,5561715382,2013162,8,29,$25.00,HIGH ST N,1224,K935,39.986416,-83.0055,meter,
2295416,0,0,$80.00,$0.00,2014289,0,0,,0,0,5561106861,2013031,16,29,$25.00,PARK ST,1303,K376,39.97561,-83.00473,meter,
3205540,0,0,$0.00,$0.00,2017186,0,2017257,,2017257,0,5561387325,2013081,6,29,$25.00,HIGH ST N,1052,UE630,39.995396,-83.00702,meter,
3292209,0,0,$240.00,$0.00,2014043,0,0,,0,0,5561327140,2013079,14,29,$25.00,NATIONWIDE BLVD E,842,EX28,39.969254,-82.999535,meter,
3292209,0,0,$240.00,$0.00,2014043,0,0,,0,0,5562530333,2013351,7,29,$25.00,3RD ST S,856,SM208,39.959988,-82.99738,meter,
3320818,0,0,$65.00,$0.00,2015042,1,0,,0,0,5562358041,2013324,2,29,$25.00,PEARL ST S,1055,SL554,39.95536,-82.99835,meter,
3291236,0,0,$80.00,$0.00,2013093,0,0,,0,0,5561325946,2013072,14,72,$45.00,FULTON ST W,1212,WA25,39.95331,-82.999664,meter,
3227249,0,0,$0.00,$0.00,2017277,0,0,,0,0,5562305412,2013303,8,29,$25.00,MOUND ST E,1049,EC54,39.955116,-82.99718,meter,
3168956,0,0,$85.00,$0.00,2015161,2,2012160,,2012161,0,5562208031,2013274,8,29,$25.00,WALL ST N,1421,NJ110,39.96403,-83.00186,meter,
3210727,0,0,$65.00,$0.00,2015238,1,0,,0,0,5561571171,2013109,17,72,$45.00,PARK ST,2027,NI655,39.97276,-83.00467,meter,
3337641,0,0,$15.00,$0.00,2013289,0,0,,0,0,5562158950,2013273,16,29,$25.00,SIXTH ST S,1321,SS7,39.96264,-82.99265,meter,
3252650,0,0,$90.00,$0.00,2018066,0,0,,0,0,5561173895,2013017,17,29,$25.00,WALL ST N,1946,NJ252,39.965965,-83.002235,meter,
3287499,0,0,$0.00,$0.00,2013079,0,2017248,,2017250,0,5561359686,2013058,20,29,$25.00,GAY ST E,1715,EP9,39.96361,-83.00026,meter,
3314358,0,0,$315.00,$0.00,2017277,4,0,,0,0,5561877771,2013196,8,29,$25.00,FULTON ST E,1209,EA37,39.9536,-82.99728,meter,
3325242,0,0,$310.00,$0.00,2017263,2,0,,0,0,5562043564,2013228,17,29,$25.00,GOODALE ST W,2034,K6,39.97368,-83.005035,meter,
3210727,0,0,$65.00,$0.00,2015238,1,0,,0,0,5561571160,2013109,17,13,$50.00,PARK ST,2025,NI655,39.97276,-83.00467,meter,
3332156,0,0,$150.00,$0.00,2017296,0,0,,0,0,5562110845,2013253,6,29,$25.00,NEIL AVE,1047,UW972,39.995243,-83.01453,meter,
2560845,0,0,$660.00,$0.00,2017284,1,0,,0,0,5561528283,2013109,14,29,$25.00,FRONT ST N,805,NI254,39.965714,-83.003006,meter,
3353185,0,0,$0.00,$0.00,2014099,0,0,,0,0,5562524954,2013338,20,26,$40.00,PARK ST,2152,K432,39.97677,-83.00495,meter,
3306001,0,0,$220.00,$0.00,2014189,0,0,,0,0,5561651391,2013141,6,29,$25.00,HIGH ST N,1250,UW615,39.995075,-83.00722,meter,
3283936,0,0,$0.00,$0.00,2017270,0,0,,0,0,5561572195,2013116,2,29,$25.00,GAY ST E,850,EP6,39.96373,-83.000534,meter,
3114156,0,0,$0.00,$0.00,2012298,0,0,,0,0,5561434354,2013099,14,29,$25.00,OAK ST E,1056,EL211,39.961437,-82.99528,meter,
3347207,0,0,$0.00,$0.00,0,0,2017259,,2017259,0,5562410423,2013312,20,29,$25.00,11TH AVE W,1824,UW133,39.9953,-83.0092,meter,
3205540,0,0,$0.00,$0.00,2017186,0,2017257,,2017257,0,5561788985,2013168,6,29,$25.00,HIGH ST N,917,UE620,39.995087,-83.00696,meter,
3347156,0,0,$0.00,$0.00,0,0,0,,0,0,5562438386,2013346,12,29,$25.00,GAY ST E,1220,EP11,39.963623,-83.000175,meter,
3292209,0,0,$240.00,$0.00,2014043,0,0,,0,0,5561375193,2013077,15,29,$25.00,3RD ST S,829,SM202,39.960175,-82.99741,meter,
3033066,0,0,$200.00,$0.00,2018064,2,0,,0,2018061,5562196120,2013262,18,13,$50.00,SWAN ST W,2240,WCC53,39.972797,-83.004074,meter,
3165960,0,0,$0.00,$0.00,2017298,0,0,,0,0,5561413170,2013061,19,29,$25.00,HIGH ST N,2107,K754,39.98354,-83.004715,meter,
3117462,0,0,$0.00,$0.00,0,0,0,,0,0,5562044404,2013239,12,29,$25.00,MARCONI BLVD,804,NG370,39.967796,-83.0052,meter,
2910556,0,0,$160.00,$0.00,2013149,0,0,,0,0,5561575032,2013128,2,72,$45.00,FULTON ST W,929,WA13,39.95333,-82.99946,meter,
3344191,0,0,$65.00,$0.00,2017263,1,0,,0,0,5562315842,2013299,7,29,$25.00,TOWN ST E,1036,EI537,39.960167,-82.98754,meter,
3340889,0,0,$0.00,$0.00,2017228,0,2017284,,2017284,2014261,5562320860,2013288,19,29,$25.00,HIGH ST N,1701,K946,39.98684,-83.00533,meter,
3293985,0,0,$0.00,$0.00,2017270,0,0,,0,0,5561550764,2013095,19,72,$45.00,GAY ST E,1526,EP44,39.96388,-82.99917,meter,
3327684,0,0,$0.00,$0.00,2017256,0,0,,0,0,5561824733,2013236,19,72,$45.00,GOODALE ST W,2154,K119,39.973633,-83.00707,meter,
3287846,0,0,$0.00,$0.00,2015014,0,2014023,,2014024,0,5561365172,2013059,7,29,$25.00,STATE ST E,1207,EK261,39.960884,-82.99322,meter,
3131269,0,0,$60.00,$0.00,2014001,0,0,,0,0,5562577406,2013346,19,29,$25.00,HIGH ST N,2152,K574,39.9765,-83.003296,meter,
3278469,0,0,$0.00,$0.00,0,0,2017193,,2017193,0,5561244971,2013017,19,72,$45.00,RUSSELL ST W,2111,K220,39.975468,-83.00428,meter,
3167190,0,0,$20.00,$0.00,2013156,1,0,,0,0,5561390092,2013063,20,72,$45.00,HIGH ST N,2110,K518,39.975464,-83.003105,meter,
3287846,0,0,$0.00,$0.00,2015014,0,2014023,,2014024,0,5561472876,2013100,16,29,$25.00,CIVIC CENTER DR,1008,SG127,39.956364,-83.003136,meter,
2739835,0,0,$0.00,$0.00,0,0,2007108,,2007109,0,5562373710,2013305,7,72,$45.00,FULTON ST E,1029,EA25,39.95354,-82.99774,meter,
3328741,0,0,$0.00,$0.00,2014085,0,2017251,,2017251,0,5562113866,2013240,17,29,$25.00,PARK ST,1821,NI603,39.97168,-83.00476,meter,
